ID,ProtoTriqui,WordClass,English,Spanish,ChicIPA,ChicOrth,Copa,other
1,aβii,Vi,go out,salir,"awi""",ahui”,añii”,
2,afiʔ,Vi,die,morir,awiʔ,"ahui”""",añiʔ,
3,"ag""ah",Vi,"shout, cry out",gritar,"ag""ahʔ",aguaj”,ag”ah”,
4,ahaʔ,Adv,already,ya,aʔ,a”,ah!,
5,aka,Vt,"cut hair, weed",cortar,akaʔ,acaʔ,akaʔ,
6,akaa,Vi,burn,quemarse,aka,acaʔ,akaa”ʔ,
7,akoh,Vi,be cold,estar frio,akohʔ,acojʔ,akohʔ,
8,amá,Que,when,cuándo,ama’,aman,amáʔ,
9,amáʔ,Vi,rain,llover,amáʔ,aman',amáʔ,
10,anah,Vt,clear corn field,limpiar,anahʔ,anaj,anahʔ,
11,aynaʔβih,Vt,wait,esperar,anaʔwih',ana uij”,na” βih!,
12,anááa,Vi,wash face,lavarse la cara,aná,anan,anda’,
13,anah,Vt,weave,tejer,anah’,ananj,anáhʔ,
14,ane,Vi,bathe,bañarse,ane”,ane,ane”,
15,ane,Vt,chew,"masticar, mascar",ane”,ane”,ane,
16,anii,Vt,"squeeze, milk, hang to kill","exprimir, ordeñar, ahorcar",aniʔ,aniʔ,anuu”,
17,arasúú,Vt,use,usar,arasú”,arasun”,ra zi”,
18,aseasi,Con,or,o,asi”,asi”,aze” 2,
19,asih,Pre,from,desde,asih',"asij""",azihʔ,
20,ata,Vt,carry,cargar,ataʔ,ataʔ,a°ta’ʔ,
21,afiiti,Adj,infertile,infecund,afi’,atin,itdti'®,
22,atohotoh,Vi,sleep,dormir,"atoh""",atoj4,otoh”,
23,atuh,Vi,enter,entrar,atuh’,atuj’,atuhʔ,
24,atsih,Vt ,touch,tentar,atsihʔ,"atsij""",atsih’,
25,atʃee,Vi,walk,"caminar, andar",atʃe!,ache',tʃeeʔ,
26,atʃih,Vi,grow,crecer,atʃih”,"achij""",atʃih,
27,atʃi,Vt,"pass, cross","pasar, cruzar",atiʔ,achin,atyí [atʃ8],
28,atʃii_,Vi,"lack, be lacking, be missing",faltar,atʃ',achin,atʃii,
29,atʃii,Vt,ask,pedir,atʃi',achin',atʃiP,
30,atʃiʔ,Vt,bury,enterrar,atʃ1ʔ”ʔ,achin',atʃi2ʔ,
31,atsaa,Vt,sing,cantar,atsa’,achra',atsaa’,
32,atsih,Vt,"smear, anoint, irrigate","untar, regar",atsihʔ,achrij,atsihʔ,
33,atsih,Vi,cough,toser,atsihʔ,achrinj,atsth”,
34,ayoʔ,Adv,next year,año próximo,ayoʔ”,ayo’,ayoʔ,
35,ayuu,Vi,fall,caer,ayu”,ayu,ayuuʔ,
36,aʔmii,Vi,speak,hablar,atmi”,"a'mi""",aʔmii”,
37,aʔneh,Vt,remove,quitar,aʔnehʔ,a'nej”,aʔnehʔ,
38,aʔngaa,Vi,beborn,nacer,alga”,a'nga”',afngaa”,
39,afíngaʔ,Vi,laugh,reír,a’ngaʔ,a’nga’’’,a’ngaʔ®,
40,aʔniʔ,Vi,dream,soñar,a2niʔʔʔ,a’niʔʔʔ,amuʔ”,
41,aʔniʔ,Vt,cut,cortar,aniʔʔʔ,a’niʔʔ,ameʔ,
42,alyáh,Vt ,blow,soplar,aʔyáhʔ,a”yanjʔ,aʔyáhʔ,
43,aʔyoh,Adv,tomorrow,mañana,aʔyohʔ,a yoj,aʔyohʔ,
44,aʔyohoʔyoh,Vt,peel,pelar,aʔyoh,a’ yoj’,oʔyohʔ,
45,βaa,Vi,exist,"existir, hay",wa’,hua,βaa”,
46,βah,Vi,exist,"existir, hay",wahʔ,huajʔ,βahʔ,
47,βah,Vt,"grind, crush",moler,wahʔ,huaj”,βahʔ,
48,βatáʔ,Num,six,seis,watáaʔ,huatan”ʔ,βatáʔ,
49,fa2a,Vt,spin thread,hilar,waʔa”,"hua""a”",βataʔ,
50,βa2nih,Num,three,tres,waʔni,huaniʔ,βaʔnuh!,
51,βaa,Vt,dig,escarbar,wa!,huan',848°,
52,βee,Aff,yes,si,we’,hue’,βee,
53,βee dá neβee dá ni,Con,and then,y entonces,weʔ dáʔ ni,hueʔ danʔ ni”,βee daʔ neʔ,
54,βeh,Vi,"jump, leap","saltar, brincar",wehʔ,huej,βehʔ,
55,βeʔ,N,house,casa,weʔʔe,hue”e,βeʔ,"βeʔe M-Al, M-At, M-DT, M-Ja, M-ʃJ, M-Y βiʔe M-Ay βiʔi M-Co βaʔa C-CP, C-ʃM"
56,βih,Num,two,dos,wi”,huui”,βih!,"o8i M-AD uβi C-CP, C-ʃM, M-Ay, M-Co, M-Ja, M-ʃJ"
57,βi2ii,Adj,blond,rubio,wiiʔ,hui’i,βiʔii!,
58,dah,Adj,"delicious, tasty","delicioso, sabroso",dah,daj,dah”,
59,dah,Adv,thus,así,dah‘,daj’,dah’ʔ,
60,dah,Que,how,cómo,dah‘,daj,dah',
61,daa,Np,animal,animal,daʔ,danʔ,"daa""",
