"ID","Loan","Mixteco","MixtecoToneless","Spanish","English","WordClass","ClasePalabra","Pronoun","Morphemes","GlossEnglish","GlossSpanish","SemanticField","CampoSemántico","ScientificName","LToneChange","ToneMelody","pMX","Source","NotesForm","NotesCulture","NotesMeta"
0001,,"nùnì","nuni","maíz (en grano)","corn (shelled)","noun","sustantivo","-an",,,,"food | corn","comida | maíz",,"Yes; before MM and LM","B.B","*noniʔ","Josserand83:85",,,
0002,,"iti","iti","milpa","corn field ","noun","sustantivo","-an",,,,"agriculture | corn","agricultura | maíz",,,"M.M","*itu","Josserand83:169",,,
0003,,"kuàntxií","kuantxii","sol","sun ","noun","sustantivo",,,,,"cosmology","cosmología",,,"B.MA",,,,,
0004,,"yòò","yoo","luna","moon ","noun","sustantivo","-an",,,,"cosmology","cosmología",,"Yes; -1s; I think before LH","BB",,,,,
0005,,"txìkuìí","txikuii","agua","water ","noun","sustantivo",,,,,"nature","naturaleza",,,"B.BA","*ⁿdute","Josserand83:22",,,
0006,,"ntuchì","ntuchi","frijol; riñón","bean(s); kidney","noun","sustantivo",,,,,"food | body","comida | cuerpo",,"yes","M.B","*ⁿdutiʔ","Josserand83:21",,,
0007,,"ñu'u","ñu'un","lumbre, fuego","fire ","noun","sustantivo",,,,,"fire | cooking","lumbre | cocinar",,,"M.M","*yuʔu̱","Josserand83:105",,,
0008,,"shìtà","shita","tortilla","tortilla","noun","sustantivo",,,,,"food","comida",,"Yes; -1s; before MH, MM, LM, LL, and some LH","B.B","*sitaʔ","Josserand83:15",,,
0009,,"itùn","itun","madera; palo, árbol","wood; tree ","noun","sustantivo","-dun",,,,"plant","planta",,"yes, before 'pesado'","M.B","*yutu̱ʔ","Josserand83:11",,,
0010,,"tù'un ntá'ví","tu'un nta'vi","mixteco","Mixtec","noun","sustantivo",,"tù'un-ntá'ví","word-humble","palabra-humilde","language","lenguaje",,,"B.M A.A",,,,,
0011,,"txokó","txoko","hormiga","ant ","noun","sustantivo",,,,,"animal","animal",,,"M.A",,,,,
0012,,"laa","laa","pajarito","bird ","noun","sustantivo",,,,,"animal","animal",,,"MM","*tɨ laa","Josserand83:147",,,
0013,,"ntxìvì","ntxivi","blanquillo, huevo","egg ","noun","sustantivo","-an",,,,"food","comida",,"Yes; before LH and LM, but not LL","B.B","*ⁿdɨwɨʔ","Josserand83:37",,,
0014,,"txaká","txaka","pez, pescado","fish ","noun","sustantivo",,,,,"food | animal","comida | animal",,,"M.A",,,,,
0015,,"nta'á itùn","nta'a itun","hoja de árbol","leaf ","noun","sustantivo",,"nta'á-itùn","hand-tree","mano-arból","plant","planta",,,"M.M M.B",,,,,
0016,,"ñu'ù","ñu'un","tierra","dirt ","noun","sustantivo",,,,,"agriculture","agricultura",,,"M.B",,,,,
0017,,"xí'ì ntxìtxà","xi'i ntxitxa","rayo, relámpago","lightning (without sound, just the flash)","noun","sustantivo",,"xí'ì-ntxìtxà","die-?","morir-?","weather","clima",,"No","A.B B.B",,,"The form only refers to the flash. Another word ""tasha"" (M.M) refers to both the flash and the sound (thunderbolt) (YC)",,
0018,,"tù'un","tu'un","palabra","word","noun","sustantivo",,,,,"language","lenguaje",,,"B.M","*toʔo̱","Josserand83:9",,,
0019,,"yavì","yavi","maguey","century plant ","noun","sustantivo",,,,,"plant","planta",,"yes","M.B","*yawiʔ","Josserand83:2",,,
0020,,"xìkuaa","xìkuaa","noche","night ","noun","sustantivo",,,,,"time","tiempo",,,"B.MM",,,,,
0021,,"yàà","yaa","ceniza","ash ","noun","sustantivo",,,,,"fire","lumbre",,"Yes; before L tone; -1s","BB",,,,,
0022,,"ya'à","ya'a","chile","chili pepper ","noun","sustantivo","-an",,,,"food","comida",,,"M.B",,,,,
0023,,"sàvì","savi","lluvia","rain ","noun","sustantivo",,,,,"weather","clima",,"Yes; before L for sure, maybe others too","B.B","*sawiʔ","Josserand83:1",,,
0024,,"nìì","nii","sal","salt ","noun","sustantivo",,,,,"food","comida",,"Yes; -1s; ?","BB","*yɨɨ̱ʔ","Josserand83:41",,,
0025,,"ve'e","ve'e","casa","house ","noun","sustantivo",,,,,"society","sociedad",,,"M.M","*weʔyi","Josserand83:164",,,
0026,,"yikìn","yikin","calabaza","squash ","noun","sustantivo",,,,,"food","comida",,"Yes; -1sg; ?","M.B","*yɨkɨ̱ʔ","Josserand83:44",,,
0027,,"txìki","txìki","piojo","louse ","noun","sustantivo",,,,,"animal","animal",,,"B.M",,,,,
0028,,"yìì","yìì","piedra","rock ","noun","sustantivo",,,,,"nature","naturaleza",,"Yes; -1s; before MM and LM","BB","*yuuʔ","Josserand83:175",,,
0029,,"kòò","koo","culebra, serpiente","snake ","noun","sustantivo",,,,,"animal","animal",,"Yes; -1s; before LH ('black' LH tùún may be underlyingly LL-H, tùùn-H, black-ADJ)","BB","*kooʔ","Josserand83:69",,,
0030,,"ñù'mà","ñu'ma","humo","smoke ","noun","sustantivo",,,,,"fire","lumbre",,"yes","B.B","*yuʔwe̱","Josserand83:101",,,
