LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V001_kaxa'an,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,ɕi5 ⇌ ka3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[g-k-p-t-ð-ʔ-kʷ][a-ã]3 <3>,i1ɕi1 ⇌ ka3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[1-3-5-f-g-k-l-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-o-ã-õ-ẽ][3-5] <4>
V002_kaka,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,ɕi5 ⇌ ka3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[g-k-p-t-ð-ʔ-kʷ][a-ã]3 <3>,i1ɕi1 ⇌ ka3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[1-3-5-f-g-k-l-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-o-ã-õ-ẽ][3-5] <4>
V003_kuunsavi,_5 ⇌ i1_3 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <139>,5 ⇌ 3 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <123>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V004_ka'an,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,5 ⇌ 1 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+5? <42>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V005_kusi,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,i5ʃ ⇌ o1s / k_i1 <1>,i1_i_ʃ ⇌ _o_s / _k_1_i1 <1>
V006_txiin,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,5 ⇌ 1 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+5? <42>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V007_koso,_5 ⇌ i1ɕi1_3 / _[f-g-k-m-n-p-r-t-w-ð-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i-o]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-i-o-ã-õ-ĩ-ẽ][3-5]? <6>,ⁿd͡ʑi5 ⇌ ko3 / _so3 <1>,i1ɕi1ⁿd͡ʑi ⇌ ko / _3so3 <1>
V008_ka'ntxa,_5_5 ⇌ i1_3_3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+_ <16>,ɕ_5_5 ⇌ k_3_3 / _[a-e]_[a-e-f-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-kʷ]+_ <6>,i1ɕ ⇌ k / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[1-3-5-a-e-i-o-ã-õ-ĩ-ẽ][1-3-5-f-g-k-l-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o][1-3-5] <13>
V009_kikin,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,5 ⇌ 1 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+5? <42>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V010_kuntxati,_5 ⇌ i1ɕi1_3 / _[f-g-k-m-n-p-r-t-w-ð-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i-o]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-i-o-ã-õ-ĩ-ẽ][3-5]? <6>,_5 ⇌ ko3_3 / _[f-g-k-m-n-p-r-t-w-ð-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-o]_[a-e-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɲ-ɾ-ʔ-ⁿd-ẽ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-i-o-ã-õ-ĩ-ẽ]?3? <6>,i1ɕi1 ⇌ ko3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <18>
