LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V001_kaxa'an, ⇌ i / _[-long]*[+syll],ɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV],iɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV]
V002_kaka, ⇌ i / _[-long]*[+syll],ɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV],iɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV]
V003_kuunsavi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V004_ka'an, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V005_kusi, ⇌ i / _[-long]*[+syll],iʃ ⇌ os / k_i,i_iʃ ⇌ _os / _k_i
V006_txiin, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V007_koso, ⇌ iɕi / _[-lat]*[+syll],ⁿd͡ʑi ⇌ ko / _so,iɕiⁿd͡ʑi ⇌ ko / _so
V008_ka'ntxa, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V009_kikin, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V010_kuntxati, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V011_ntxiko, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V012_ntaka'vi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
