LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V001_kaxa'an, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>,ɕi ⇌ ka / _[a-e-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɲ-ɾ-ⁿd-ẽ-kʷ]*[a-e-f-g-i-k-o-p-r-t-w-ð-ɕ-ɾ-ʒ-ʔ-β-kʷ-t͡ɕ]*[a-e-o-ã-õ-ẽ] <6>,iɕi ⇌ ka / _[a-e-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɲ-ɾ-ⁿd-ẽ-kʷ]*[a-e-f-g-i-k-o-p-r-t-w-ð-ɕ-ɾ-ʒ-ʔ-β-kʷ-t͡ɕ]*[a-e-o-ã-õ-ẽ] <6>
V002_kaka, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>,ɕi ⇌ ka / _[a-e-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɲ-ɾ-ⁿd-ẽ-kʷ]*[a-e-f-g-i-k-o-p-r-t-w-ð-ɕ-ɾ-ʒ-ʔ-β-kʷ-t͡ɕ]*[a-e-o-ã-õ-ẽ] <6>,iɕi ⇌ ka / _[a-e-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɲ-ɾ-ⁿd-ẽ-kʷ]*[a-e-f-g-i-k-o-p-r-t-w-ð-ɕ-ɾ-ʒ-ʔ-β-kʷ-t͡ɕ]*[a-e-o-ã-õ-ẽ] <6>
V003_kuunsavi, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>, ⇌  / [a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]* <249>,i ⇌  / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <258>
V004_ka'an, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>, ⇌  / [a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]* <249>,i ⇌  / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <258>
V005_kusi, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>,iʃ ⇌ os / k_i <1>,i_iʃ ⇌ _os / _k_i <1>
V006_txiin, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>, ⇌  / [a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]* <249>,i ⇌  / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <258>
V007_koso, ⇌ iɕi / _[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <17>,ⁿd͡ʑi ⇌ ko / _so <1>,iɕiⁿd͡ʑi ⇌ ko / _so <1>
V008_ka'ntxa, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>,ɕ ⇌ k / _[a-e-f-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʒ-ʔ-β-ⁿd-ẽ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-f-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʒ-β-ⁿd-ẽ-kʷ-ⁿd͡ʑ-t͡ɕ][a-e-i-o] <13>,iɕ ⇌ k / _[a-e-f-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʒ-ʔ-β-ⁿd-ẽ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o] <14>
V009_kikin, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>, ⇌  / [a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]* <249>,i ⇌  / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <258>
V010_kuntxati, ⇌ iɕi / _[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <17>, ⇌ ko / _[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <21>,iɕi ⇌ ko / _[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <30>
V011_ntxiko, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>, ⇌  / [a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]* <249>,i ⇌  / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <258>
V012_ntaka'vi, ⇌ i / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <298>, ⇌  / [a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]* <249>,i ⇌  / _[a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd-ẽ-ⁿd͡ʒ-t͡ʃ-kʷ-ⁿd͡ʑ-t͡ɕ]*[a-e-i-o-ã-õ-ĩ-ẽ] <258>
