"ID","Loan","Mixteco","MixtecoToneless","Spanish","English","WordClass","ClasePalabra","Pronoun","Morphemes","GlossEnglish","GlossSpanish","SemanticField","CampoSemántico","ScientificName","LToneChange","ToneMelody","pMX","Source","NotesForm","NotesCulture","NotesMeta"
0001,,"nùnì","nuni","maíz (en grano)","corn (shelled)","noun","sustantivo","-an",,,,"food | corn","comida | maíz",,"Yes; before MM and LM","B.B","*noniʔ","Josserand83:85",,,
0002,,"iti","iti","milpa","corn field ","noun","sustantivo","-an",,,,"agriculture | corn","agricultura | maíz",,,"M.M","*itu","Josserand83:169",,,
0003,,"kuàntxií","kuantxii","sol","sun ","noun","sustantivo",,,,,"cosmology","cosmología",,,"B.MA",,,,,
0004,,"yòò","yoo","luna","moon ","noun","sustantivo","-an",,,,"cosmology","cosmología",,"Yes; -1s; I think before LH","BB",,,,,
0005,,"txìkuìí","txikuii","agua","water ","noun","sustantivo",,,,,"nature","naturaleza",,,"B.BA","*ⁿdute","Josserand83:22",,,
0006,,"ntuchì","ntuchi","frijol; riñón","bean(s); kidney","noun","sustantivo",,,,,"food | body","comida | cuerpo",,"yes","M.B","*ⁿdutiʔ","Josserand83:21",,,
0007,,"ñu'u","ñu'un","lumbre, fuego","fire ","noun","sustantivo",,,,,"fire | cooking","lumbre | cocinar",,,"M.M","*yuʔu̱","Josserand83:105",,,
0008,,"shìtà","shita","tortilla","tortilla","noun","sustantivo",,,,,"food","comida",,"Yes; -1s; before MH, MM, LM, LL, and some LH","B.B","*sitaʔ","Josserand83:15",,,
0009,,"itùn","itun","madera; palo, árbol","wood; tree ","noun","sustantivo","-dun",,,,"plant","planta",,"yes, before 'pesado'","M.B","*yutu̱ʔ","Josserand83:11",,,
0010,,"tù'un ntá'ví","tu'un nta'vi","mixteco","Mixtec","noun","sustantivo",,"tù'un-ntá'ví","word-humble","palabra-humilde","language","lenguaje",,,"B.M A.A",,,,,
0011,,"txokó","txoko","hormiga","ant ","noun","sustantivo",,,,,"animal","animal",,,"M.A",,,,,
0012,,"laa","laa","pajarito","bird ","noun","sustantivo",,,,,"animal","animal",,,"MM","*tɨ laa","Josserand83:147",,,
0013,,"ntxìvì","ntxivi","blanquillo, huevo","egg ","noun","sustantivo","-an",,,,"food","comida",,"Yes; before LH and LM, but not LL","B.B","*ⁿdɨwɨʔ","Josserand83:37",,,
0014,,"txaká","txaka","pez, pescado","fish ","noun","sustantivo",,,,,"food | animal","comida | animal",,,"M.A",,,,,
0015,,"nta'á itùn","nta'a itun","hoja de árbol","leaf ","noun","sustantivo",,"nta'á-itùn","hand-tree","mano-arból","plant","planta",,,"M.M M.B",,,,,
0016,,"ñu'ù","ñu'un","tierra","dirt ","noun","sustantivo",,,,,"agriculture","agricultura",,,"M.B",,,,,
