"ID","IRR_TL","IMPF","PFV","IRR","Valence","Spanish","English","Morphemes","GlossEnglish","GlossSpanish","TONE.IMPF","TONE.PFV","TONE.IRR","NEG.IMPF","NEG.PFV","NEG.IRR1","NEG.IRR2","IMP","NEG.IMP","pMx","Source","Notes"
"V001","kaxa'an","xíxá'an","ìxìxá'an","kaxá'an","intr","comer","eat",,,,"A.A.M","B.B.A.M","M.A.M","kòó xíxá'an","kòó níxìxá'an","ukáxá'an","ikáxá'an",,,,,
"V002","kaka","xíka","ìxìka","kaka","intr","caminar, recorrer","walk, travel",,,,"A.M","B.B.M","M.M","kòó xíka","kòó níxìka","ukáka","ikáka","káká",,,,
"V003","kuun savi","kúun sàvì","ìkuun sàvì","kuun sàvì","intr","llover","rain","kuun-savi","fall-rain","caer-lluvia","AM B.B","B.MM B.B","MM B.B","kòó kúun sàvì","kòó níkuun sàvì","okúun sàvì","ikúun sàvì",,,,,
"V004","ka'an","ká'àn","ìkà'àn","kà'àn",,"hablar","speak",,,,"A.B","B.B.B","B.B","kòó ká'an","kòó níkà'àn","uká'àn","iká'àn","ka'an",,,,
"V005","kusi","kíshì","ìkìshì","kùsì","intr","dormir","sleep",,,,"A.B","B.B.B","B.B","kòó kíshì","kòó níkìshì","okúsì","ikúsì",,,,,
"V006","txiin","txíin","ìtxìin","txìin","ambi?","agarrar","grab",,,,"AM","B.BM","BM","kòó txíin","kòó nítxìin","utxíin","itxíin",,,"*tɨɨnʔ","Josserand83:59",
"V007","koso","ntxíso","ìxìntxiso","koso","tr","cargar (en la espalda)","carry (on your back)",,,,"A.M","B.B.M.M","M.M","kòó ntxíso","kòó níxìntxiso","okóso","ikóso",,,"*ⁿdisoʔ","Josserand83:158",
"V008","ka'ntxa","xá'ntxá","ìxa'ntxa","ka'ntxa","tr","cortar","cut",,,,"A.A","B.M.M","M.M","kòó xá'ntxá","kòó níxa'ntxa","uka'ntxa","ika'txa",,,"*xeʔⁿde","Josserand83:120",
"V009","kikin","kíkin","ìkìkin","kìkin","tr","coser, bordar","sew, embroider",,,,"A.M","B.B.M","B.M","kòó kíkin","kòó níkìkin","ukíkin","ikíkin",,,"*ku ɨku","Josserand83:79",
"V010","kuntxati","ntxáti","ìxìntxati","kuntxati",,"esperar","wait",,,,"A.M","B.B.M.M","M.M.M","kòó ntxáti","kòó níxìntxati","ukúntxati","ikùntxati",,,"*ⁿdetuʔ","Josserand83:57",
"V011","ntxiko","ntxíko","ìntxiko","ntxiko","tr","moler (el nixtamal)","grind (nixtamal)",,,,"A.M","B.M.M","M.M","kòó ntxíko","kòó níntxiko","untxíko","intxíko",,,"*ⁿdikoʔ","Josserand83:166",
"V012","ntaka'vi","ntáka'vi","ìntaka'vi","ntaka'vi","tr","pintar","paint","nta-ka'vi","ITER-count/read?","ITER-contar/leer?","A.M.M","B.M.M.M","M.M.M","kòó ntáka'vi","kòó níntaka'vi","untáka'vi","intáka'vi",,,"*kaʔyu","Josserand83:141",
"V013","kaki","xákí","ìxaki","kaki","tr","poner","lay",,,,"A.A","B.M.M","M.M","kòó xákí","kòó níxaki","ukáki","ikaki",,,"*xekin","Josserand83:64",
"V014","kana","kána","ìkana","kana","intr","salir","leave",,,,"A.M","B.M.M","M.M","kòó kána","kòó níkana","ukana","ikana",,,,,
"V015","kaki","káki","ìkaki","kaki","intr","nacer","be born",,,,"A.M","B.M.M","M.M","kòó káki","kòó níkaki","ukákí","ikákí",,,"*ni kaku","Josserand83:173",
"V016","txivi","txíví","ìtxivi","txivi","ambi","soplar","blow, fan",,,,"A.A","B.M.M","M.M","kòó txíví","kòó nítxivi","utxívi","itxivi",,,"*tɨwɨ","Josserand83:61",
"V017","ntixan","ntíxan","ìntixan","ntixan","intr","vomitar","vomit",,,,"A.M","B.M.M","M.M","kòó ntíxan","kòó níntixan","untixan","intixan",,,"*ⁿduxenʔ","Josserand83:16",
"V018","kayi","káyí","ìkayí","kayí","intr","toser","cough",,,,"A.A","B.M.A","M.A","kòó káyí","kòó níkayí","ukáyí","ikáyí",,,,,
"V019","kuaki","xákì","ìxàkì","kuàkì","intr","reírse","laugh",,,,"A.B","B.B.B","B.B","kòó xákì","kòó níxàkì","ukuàkì,","ikuàkì",,,,,
"V020","kusiki","sísíkí","ìsisíkí","kusíkí",,"jugar","play","sa?-siki?","do?-?","hacer?-?","A.A.A","B.M.A.A","M.A.A","kòó sísíkí","kòó nísisíkí","ukusikí","ikusikí",,,,,"Is it 'play a game'? (AVB)"
"V021","lala","lálá","ìlàla","làla","intr","mear","pee",,,,"A.A","B.B.M","B.M","kòó lálá","kòó nílàla","ulàla","ilàla",,,"*lele","Josserand83:150","in Josserand it's listed as a noun"
"V022","kasha","káshá","ìkashá","kashá","intr","estornudar","sneeze",,,,"A.A","B.M.A","M.A","kòó káshá","kòó níkashá","ukashá","ikashá",,,,,
"V023","sayo'va","sáyò'và","ìsáyò'và","sáyò'và","intr","bostezar","yawn","sa-yo'va","DO-?","HACER-?","A.B.B","B.A.B.B","A.B.B","kòó sáyò'và","kòó nísáyò'và","usáyò'và","isáyò'và",,,,,
